Date,GME Messages,GME Price
1-Jan,575,19.25
2-Jan,659,19.25
3-Jan,466,19.25
4-Jan,1417,19
5-Jan,1061,17.35
6-Jan,916,17.34
7-Jan,897,18.47
8-Jan,855,18.18
9-Jan,275,18.18
10-Jan,564,18.18
11-Jan,2158,19.41
12-Jan,975,19.96
13-Jan,11966,20.42
14-Jan,14851,38.09
15-Jan,13342,38.49
16-Jan,2839,38.49
17-Jan,2660,38.49
18-Jan,5207,38.49
19-Jan,8838,41.55
20-Jan,6888,37.37
21-Jan,8943,39.23
22-Jan,17436,42.59
23-Jan,8063,42.59
24-Jan,830,42.59
25-Jan,0,96.73
26-Jan,0,88.56
27-Jan,64718,354.83
28-Jan,91121,265
29-Jan,60660,379.71
